Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Inflite,Aerospace/Aviation industry,Transportation/Logistics,United Kingdom,Europe,"1,784",0.00%,"1,784",0.00%,,,,,142,"1,642",1,892,"1,784",0,100.00%
Infogrid,Real Estate Technology,Technology/Telecommunications,United States,North America,104,0.00%,104,0.00%,,,104,,,,1,104,0,104,0.00%
Information Grid,Information Technology,Technology/Telecommunications,United Kingdom,Europe,132,0.00%,132,0.00%,,,,132,,,1,132,0,132,0.00%
Informationsteknik Scandinavia,Information Technology,Technology/Telecommunications,Sweden,Europe,184,0.00%,184,0.00%,60,60,64,,,,3,61,0,184,0.00%
Infosys,Information Technology,Technology/Telecommunications,India,Asia,"11,294",0.02%,"11,294",0.02%,,,,,,"11,294",0,"11,294","11,294",0,100.00%
InfoteQ,Information Technology,Technology/Telecommunications,Germany,Europe,50,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,50,0.00%
Infoware,Information Technology,Technology/Telecommunications,Luxembourg,Europe,119,0.00%,104,0.00%,21,28,,35,,20,3,26,20,99,16.81%
Infrastructure New Zealand Incorporated,Infrastructure,Construction/Engineering,New Zealand,Oceania,26,0.00%,26,0.00%,,,,,,26,0,26,26,0,100.00%
Infré,"Fashion, Apparel, Clothing",Apparel/Fashion,France,Europe,234,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,234,0.00%
IngenCO2,Renewable Energy,Energy/Mining/Utilities,Sweden,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
Ingenics,Consulting/Engineering Services,Construction/Engineering,Germany,Europe,354,0.00%,354,0.00%,,,,354,,,1,354,0,354,0.00%
Inghams,Food and Beverage industry,Food and Beverage,Australia,Oceania,"8,607",0.01%,"8,607",0.01%,,,,"8,607",,,1,"8,607",0,"8,607",0.00%
Inhabit,Construction and Engineering,Construction/Engineering,United States,North America,61,0.00%,61,0.00%,,,,,,61,0,61,61,0,100.00%
Inizio,Healthcare consulting,Consulting Services,United States,North America,922,0.00%,922,0.00%,,,,,,922,0,922,922,0,100.00%
Inizio Group Limited,Healthcare consulting,Consulting Services,United States,North America,477,0.00%,477,0.00%,,,,,,477,0,477,477,0,100.00%
Innocent,Packaging,Manufacturing/Engineering,New Zealand,Oceania,250,0.00%,250,0.00%,,,,,,250,0,250,250,0,100.00%
Innoflame,Technology/Software,Technology/Telecommunications,United States,North America,107,0.00%,107,0.00%,,,107,,,,1,107,0,107,0.00%
Innova Capital,Private Equity,Financial Services,Poland,Europe,110,0.00%,110,0.00%,,,,,,110,0,110,110,0,100.00%
Innova Group,Technology,Technology/Telecommunications,United States,North America,192,0.00%,192,0.00%,,,,,,192,0,192,192,0,100.00%
INNOVATION ENERGIE DEVELOPPEMENT,Energy/Utilities,Energy/Mining/Utilities,France,Europe,563,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,563,0.00%
Innpact,Financial Services,Financial Services,Luxembourg,Europe,447,0.00%,447,0.00%,,,,,,447,0,447,447,0,100.00%
Inogema,Pharmaceuticals,Healthcare/Pharmaceuticals,Switzerland,Europe,60,0.00%,60,0.00%,,,,,,60,0,60,60,0,100.00%
Inproba,Food and beverage industry,Food and Beverage,Netherlands,Europe,"1,373",0.00%,"1,373",0.00%,,"1,373",,,,,1,"1,373",0,"1,373",0.00%
inpublic,Digital Marketing,Advertising/Marketing/PR,Germany,Europe,12,0.00%,12,0.00%,,,,,12,,1,12,12,0,100.00%
Insight Direct (UK) Ltd,Technology/Software,Consulting Services,United Kingdom,Europe,"4,399",0.01%,"4,399",0.01%,,,,,925,"3,474",1,"2,200","4,399",0,100.00%
InSites Consulting,Market Research and Consulting,Consulting Services,Belgium,Europe,85,0.00%,85,0.00%,,,,85,,,1,85,0,85,0.00%
Inspop,Fashion or lifestyle sector,Apparel/Fashion,Sweden,Europe,"3,206",0.00%,"3,206",0.00%,,,"3,206",,,,1,"3,206",0,"3,206",0.00%
Instabox,Logistics and delivery,Transportation/Logistics,Sweden,Europe,323,0.00%,323,0.00%,,,323,,,,1,323,0,323,0.00%
Institut Français,Education,Others,France,Europe,124,0.00%,124,0.00%,,,,,,124,0,124,124,0,100.00%
Institut für Corporate Governance in der deutschen Immobilienwirtschaft e.V.,"Non-profit organization, Real Estate",Non-profit/Charity/Government/NGO,Germany,Europe,56,0.00%,56,0.00%,,,56,,,,1,56,0,56,0.00%
Institute for Economics,Research and Education,Non-profit/Charity/Government/NGO,Germany,Europe,12,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,12,0.00%
Institute for Environmental Innovation,Environmental Conservation/Non-profit,Environmental & Sustainability Services,United States,North America,285,0.00%,285,0.00%,,285,,,,,1,285,0,285,0.00%
INTEC,Technology,Technology/Telecommunications,United States,North America,140,0.00%,140,0.00%,,,140,,,,1,140,0,140,0.00%
Intego,Technology/Software Security,Technology/Telecommunications,United States,North America,211,0.00%,211,0.00%,211,,,,,,1,211,0,211,0.00%
Integral Ad Science,Advertising & Marketing,Advertising/Marketing/PR,United States,North America,137,0.00%,137,0.00%,,,,,,137,0,137,137,0,100.00%
Integrity,Consulting,Consulting Services,United Kingdom,Europe,147,0.00%,147,0.00%,,,,,,147,0,147,147,0,100.00%
Integrity Software Systems Ltd,Software Technology,Technology/Telecommunications,United Kingdom,Europe,20,0.00%,20,0.00%,,,,,,20,0,20,20,0,100.00%
Intel,Technology,Technology/Telecommunications,United States,North America,188,0.00%,188,0.00%,32,40,40,19,,57,4,38,57,131,30.32%
Intellectual Ventures,"Technology, Intellectual Property",Technology/Telecommunications,United States,North America,73,0.00%,73,0.00%,73,,,,,,1,73,0,73,0.00%
INTERATIO,Medical Technology,Healthcare/Pharmaceuticals,United States,North America,150,0.00%,150,0.00%,,,150,,,,1,150,0,150,0.00%
Interblocs,Construction,Construction/Engineering,Switzerland,Europe,60,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,60,0.00%
Intercontinental Broadcasting Corporation,Media,Entertainment/Media/Sports,Philippines,Asia,234,0.00%,234,0.00%,,,,,,234,0,234,234,0,100.00%
Interface Inc,Manufacturing/Industrial Sector,Construction/Engineering,United States,North America,"847,065",1.14%,"660,425",1.01%,"138,488","115,045","135,669","122,700","148,513",10,5,"110,071","148,523","698,542",17.53%
Interfood BV,Food and beverage industry,Food and Beverage,Netherlands,Europe,500,0.00%,500,0.00%,,500,,,,,1,500,0,500,0.00%
Interline,Transportation/Logistics,Transportation/Logistics,United States,North America,"5,197",0.01%,"2,621",0.00%,,,,,"2,621",,1,"2,621","2,621","2,576",50.43%
International Conflict and Security Consulting,Security Consulting,Consulting Services,United Kingdom,Europe,15,0.00%,15,0.00%,,,,15,,,1,15,0,15,0.00%
International Consolidated Airlines Group,Airlines,Transportation/Logistics,United Kingdom,Europe,10,0.00%,10,0.00%,10,,,,,,1,10,0,10,0.00%
International Construction Bureau Ltd,Construction,Construction/Engineering,Japan,Asia,234,0.00%,234,0.00%,,,,,,234,0,234,234,0,100.00%
International Finance Corporation,Finance/Investment Banking,Financial Services,United States,North America,"6,421",0.01%,"6,421",0.01%,"6,421",,,,,,1,"6,421",0,"6,421",0.00%
International Olympic Committee,Sports,Entertainment/Media/Sports,Switzerland,Europe,"1,251,604",1.69%,"1,251,604",1.91%,,,,,,"1,251,604",0,"1,251,604","1,251,604",0,100.00%
International Union for Conservation of Nature (IUCN),Non-profit/Environmental Conservation,Agriculture/Agribusiness/Resources,Switzerland,Europe,"6,976",0.01%,"2,233",0.00%,,,"1,232","1,001",,,2,"1,117",0,"6,976",0.00%
INTERNATIONALE SCHULE HANNOVER REGION GmbH,Education,Non-profit/Charity/Government/NGO,Germany,Europe,238,0.00%,150,0.00%,,,,50,100,,2,75,100,138,42.02%
Intersolar,Solar Energy,Energy/Mining/Utilities,Germany,Europe,100,0.00%,100,0.00%,,,,,100,,1,100,100,0,100.00%
Interstuhl,Furniture,Retail,Germany,Europe,"1,560",0.00%,"1,560",0.00%,,,,,,"1,560",0,"1,560","1,560",0,100.00%
InterVISTAS,Consulting,Consulting Services,Canada,North America,90,0.00%,90,0.00%,,,,,,90,0,90,90,0,100.00%
Interxion,Technology/Information Technology/Data Centers,Technology/Telecommunications,Netherlands,Europe,"4,886",0.01%,"4,886",0.01%,,"4,886",,,,,1,"4,886",0,"4,886",0.00%
Intrepid Group,Travel and Tourism,Travel & Tourism,Australia,Oceania,"6,000",0.01%,"1,000",0.00%,,,"1,000",,,,1,"1,000",0,"6,000",0.00%
Intuit,Technology/Software,Technology/Telecommunications,United States,North America,"22,171",0.03%,"12,171",0.02%,"5,000","4,286","2,885",,,,3,"4,057",0,"22,171",0.00%
Invesis,Financial Services,Financial Services,United States,North America,298,0.00%,298,0.00%,,,,68,,230,1,149,230,68,77.18%
Invest Industrial Advisors Ltd,Finance/Investment Banking,Financial Services,Italy,Europe,"5,184",0.01%,0,0.00%,0,0,0,0,0,0,5,0,0,"5,184",0.00%
Investec,Financial Services,Financial Services,South Africa,Africa,"30,000",0.04%,"30,000",0.05%,,,,,"14,299","15,701",1,"15,000","30,000",0,100.00%
INVESTISSEURS & PARTENAIRES,Finance & Investment,Financial Services,France,Europe,900,0.00%,900,0.00%,900,,,,,,1,900,0,900,0.00%
Investmentkontor RheinRuhr,Financial Services,Financial Services,Germany,Europe,25,0.00%,25,0.00%,,25,,,,,1,25,0,25,0.00%
InvestSense,Financial Services,Financial Services,India,Asia,57,0.00%,57,0.00%,,,,57,,,1,57,0,57,0.00%
INVICTO,Financial Services,Financial Services,Germany,Europe,78,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,78,0.00%
Inzide Commercial Limited,Commercial Real Estate or Property Management,Construction/Engineering,New Zealand,Oceania,"1,053",0.00%,"1,053",0.00%,,,553,,466,34,2,351,500,553,47.48%
Inzone Industries,Manufacturing or Industrial Sector,Construction/Engineering,United States,North America,"3,383",0.00%,"3,383",0.01%,,,"1,239","1,944",200,,3,"1,128",200,"3,183",5.91%
io verlag GmbH,Publishing/ Media industry,Entertainment/Media/Sports,Germany,Europe,"1,657",0.00%,"1,657",0.00%,,,"1,657",,,,1,"1,657",0,"1,657",0.00%
ION,Technology/Software,Technology/Telecommunications,United States,North America,586,0.00%,586,0.00%,,586,,,,,1,586,0,586,0.00%
IPETRONIK,Automotive sector,Transportation/Logistics,Germany,Europe,360,0.00%,360,0.00%,,,159,201,,,2,180,0,360,0.00%
IQ-EQ,Financial Services,Financial Services,Luxembourg,Europe,253,0.00%,253,0.00%,,,,,,253,0,253,253,0,100.00%
IQGeo,Geospatial Technology,Technology/Telecommunications,United States,North America,123,0.00%,123,0.00%,,,,,123,,1,123,123,0,100.00%
IRIC,Education,Others,Ireland,Europe,45,0.00%,45,0.00%,,,,,,45,0,45,45,0,100.00%
Irish Aid,Government / International Development,Non-profit/Charity/Government/NGO,Ireland,Europe,400,0.00%,400,0.00%,,,,,,400,0,400,400,0,100.00%
Irish Government,Government Agency,Non-profit/Charity/Government/NGO,Ireland,Europe,40,0.00%,40,0.00%,,,40,,,,1,40,0,40,0.00%
Iron Mountain,Technology/Information Management,Technology/Telecommunications,United States,North America,"1,000",0.00%,"1,000",0.00%,,,"1,000",,,,1,"1,000",0,"1,000",0.00%
Ironstream Capital,Private Equity,Financial Services,United States,North America,53,0.00%,53,0.00%,,,,,40,13,1,27,53,0,100.00%
Isana Naturfeinkost,Food and beverage industry,Food and Beverage,Germany,Europe,172,0.00%,172,0.00%,,,137,35,,,2,86,0,172,0.00%
Isavia Ltd.,Transportation/Aviation,Transportation/Logistics,Iceland,Europe,"3,610",0.00%,"3,610",0.01%,,,,"1,565",,"2,045",1,"1,805","2,045","1,565",56.65%
ISE,Financial Services,Financial Services,Turkey,Europe,39,0.00%,39,0.00%,,,,,,39,0,39,39,0,100.00%
ISO 14068-2,Environmental Services,Environmental & Sustainability Services,France,Europe,"1,050",0.00%,"1,050",0.00%,,,,,,"1,050",0,"1,050","1,050",0,100.00%
ISS,Sports and Renewable Energy,Others,Germany,Europe,78,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,78,0.00%
IT Partners,Information Technology,Technology/Telecommunications,United States,North America,24,0.00%,24,0.00%,,,,24,,,1,24,0,24,0.00%
ITA Airways,Airline,Transportation/Logistics,Italy,Europe,71,0.00%,71,0.00%,,,,71,,,1,71,0,71,0.00%
Itä-Suomen yliopisto,Education/Higher Education,Non-profit/Charity/Government/NGO,Finland,Europe,"1,603",0.00%,"1,603",0.00%,,,"1,603",,,,1,"1,603",0,"1,603",0.00%
ITAD,Technology/IT industry,Technology/Telecommunications,United States,North America,156,0.00%,156,0.00%,,,,156,,,1,156,0,156,0.00%
ITFC,Finance/Trade Finance,Financial Services,Saudi Arabia,Middle East,399,0.00%,399,0.00%,,,,399,,,1,399,0,399,0.00%
itl Institut für technische Literatur AG,Engineering Consultant,Consulting Services,Austria,Europe,128,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,128,0.00%
ITM,Information Technology,Technology/Telecommunications,India,Asia,74,0.00%,74,0.00%,,,,34,,40,1,37,40,34,54.05%
IU Group,Business/Consulting Services,Consulting Services,United States,North America,"44,703",0.06%,"39,014",0.06%,,"3,334",,,"18,029","17,651",2,"13,005","35,680","9,023",79.82%
IUCN,Non-profit organization,Non-profit/Charity/Government/NGO,Switzerland,Europe,"14,000",0.02%,"14,000",0.02%,,,,,,"14,000",0,"14,000","14,000",0,100.00%
Ivakale,Fashion/Apparel,Apparel/Fashion,Italy,Europe,183,0.00%,183,0.00%,,,,183,,,1,183,0,183,0.00%
iViis,Technology,Technology/Telecommunications,Estonia,Europe,"4,630",0.01%,"4,630",0.01%,,,,,,"4,630",0,"4,630","4,630",0,100.00%
IWB,Utilities,Energy/Mining/Utilities,Switzerland,Europe,100,0.00%,100,0.00%,,,,,,100,0,100,100,0,100.00%
IWDA,Non-profit organization,Non-profit/Charity/Government/NGO,United States,North America,353,0.00%,353,0.00%,,,,,,353,0,353,353,0,100.00%
IWL AG,Technology/IT,Technology/Telecommunications,Germany,Europe,136,0.00%,136,0.00%,,,,136,,,1,136,0,136,0.00%
J.A.D.E.,Fashion,Apparel/Fashion,China,Asia,42,0.00%,42,0.00%,,,,42,,,1,42,0,42,0.00%
J.D. NEUHAUS,Industrial Machinery/Equipment,Construction/Engineering,Germany,Europe,662,0.00%,662,0.00%,,,,662,,,1,662,0,662,0.00%
J.L. Richards,Engineering Services,Construction/Engineering,Canada,North America,300,0.00%,300,0.00%,,,,,,300,0,300,300,0,100.00%
J.P. Morgan,Finance/Investment Banking,Financial Services,United States,North America,"1,150",0.00%,"1,150",0.00%,,,"1,150",,,,1,"1,150",0,"1,150",0.00%
J.R FITZGERALD & R.L HALPERN,Law Practice,Consulting Services,United States,North America,439,0.00%,439,0.00%,,,,,,439,0,439,439,0,100.00%
Jabil,Technology/Manufacturing,Technology/Telecommunications,United States,North America,625,0.00%,625,0.00%,,625,,,,,1,625,0,625,0.00%
Jacobs,Engineering/Construction,Construction/Engineering,United States,North America,"20,548",0.03%,"18,095",0.03%,,,"18,095",,,,1,"18,095",0,"20,548",0.00%
Jambo Tours,Travel and Tourism,Travel & Tourism,Sweden,Europe,"5,000",0.01%,"5,000",0.01%,,"5,000",,,,,1,"5,000",0,"5,000",0.00%
James Bond,Entertainment,Entertainment/Media/Sports,United Kingdom,Europe,54,0.00%,54,0.00%,,,,,,54,0,54,54,0,100.00%
JAN Recicladora SyM S.A.,Waste Management,Environmental & Sustainability Services,Mexico,North America,63,0.00%,63,0.00%,63,,,,,,1,63,0,63,0.00%
Jan Sandqvist Engineering,Engineering,Construction/Engineering,Sweden,Europe,60,0.00%,60,0.00%,40,20,,,,,2,30,0,60,0.00%
Jarden,Consumer Goods,Retail,United States,North America,287,0.00%,287,0.00%,,287,,,,,1,287,0,287,0.00%
Jasmax,Architecture and Design,Construction/Engineering,New Zealand,Oceania,59,0.00%,59,0.00%,,,,,,59,0,59,59,0,100.00%
Jätkäsaaren Kommodori Ky,Real Estate or Property Management,Construction/Engineering,Finland,Europe,500,0.00%,500,0.00%,,,500,,,,1,500,0,500,0.00%
Jazzopen,Entertainment/Events/Festivals,Entertainment/Media/Sports,Germany,Europe,"4,020",0.01%,"4,020",0.01%,,,,"4,020",,,1,"4,020",0,"4,020",0.00%
JB Drax Honore,Finance/Investment Banking,Financial Services,United Kingdom,Europe,201,0.00%,201,0.00%,,,,201,,,1,201,0,201,0.00%
JB Travel,Travel Agency,Travel & Tourism,Sweden,Europe,77,0.00%,77,0.00%,16,,,61,,,2,39,0,77,0.00%
JC Decaux,Advertising and Marketing,Advertising/Marketing/PR,France,Europe,"2,712",0.00%,995,0.00%,547,448,,,,,2,498,0,"2,712",0.00%
JCDecaux,Advertising and Marketing,Advertising/Marketing/PR,France,Europe,891,0.00%,891,0.00%,,,,,318,573,1,446,891,0,100.00%
Jdi,Construction and Engineering,Construction/Engineering,United States,North America,11,0.00%,11,0.00%,,,,,,11,0,11,11,0,100.00%
Jetcraft,Aerospace/Aviation,Transportation/Logistics,United States,North America,"2,158",0.00%,"2,158",0.00%,,,,,"2,158",,1,"2,158","2,158",0,100.00%
Jikoni,Food and Beverage,Food and Beverage,Kenya,Africa,"5,537",0.01%,"5,537",0.01%,,,,,,"5,537",0,"5,537","5,537",0,100.00%
Jiva Consulting,Management Consulting,Consulting Services,India,Asia,200,0.00%,200,0.00%,,,60,40,30,70,3,50,100,100,50.00%
JMB Fashion Team GesmbH,Women's clothing store,Retail,Austria,Europe,492,0.00%,492,0.00%,,,240,240,12,,3,164,12,480,2.44%
JO-BA Pulverbeschichtung GmbH,Powder coating service,Manufacturing/Engineering,Germany,Europe,"2,026",0.00%,625,0.00%,459,166,,,,,2,313,0,"2,026",0.00%
JOBmeal AB,Coffee machine supplier,Retail,Sweden,Europe,"3,565",0.00%,"1,946",0.00%,,,,,"1,946",,1,"1,946","1,946","1,619",54.59%
John Good & Sons Limited,Manufacturing/Industrial Sector,Construction/Engineering,United Kingdom,Europe,650,0.00%,650,0.00%,,,,,650,,1,650,650,0,100.00%
John Pass,Retail,Retail,United States,North America,"4,248",0.01%,"4,248",0.01%,,,,,,"4,248",0,"4,248","4,248",0,100.00%
John Sisk & Sons,Construction and Engineering,Construction/Engineering,Ireland,Europe,"1,000",0.00%,"1,000",0.00%,,,,"1,000",,,1,"1,000",0,"1,000",0.00%
Johnny Cashew,Food & Beverage,Food and Beverage,United States,North America,160,0.00%,160,0.00%,,,,,,160,0,160,160,0,100.00%
Johnson & Johnson,Healthcare,Healthcare/Pharmaceuticals,United States,North America,104,0.00%,104,0.00%,,,,,54,50,1,52,104,0,100.00%
Joloda,Manufacturing/Transportation/Logistics,Transportation/Logistics,Netherlands,Europe,262,0.00%,262,0.00%,,,,262,,,1,262,0,262,0.00%
Jolt Charge,Technology/Electronics,Technology/Telecommunications,United States,North America,332,0.00%,332,0.00%,,,,115,217,,2,166,217,115,65.36%
Jones Building Group,Construction,Construction/Engineering,United States,North America,17,0.00%,17,0.00%,,,,17,,,1,17,0,17,0.00%
Jones Robinson,Financial Services,Financial Services,United Kingdom,Europe,51,0.00%,51,0.00%,,,,,51,,1,51,51,0,100.00%
Josera Erbacher Service GmbH & Co. KG,Pet food manufacturing,Food and Beverage,Germany,Europe,"7,229",0.01%,"7,229",0.01%,,,,,,"7,229",0,"7,229","7,229",0,100.00%
Josera GmbH & Co. KG,Pet food manufacturing,Food and Beverage,Germany,Europe,"4,486",0.01%,"4,486",0.01%,,,,,,"4,486",0,"4,486","4,486",0,100.00%
Josera petfood GmbH & Co. KG,Pet food manufacturing,Food and Beverage,Germany,Europe,"35,000",0.05%,"35,000",0.05%,,,,,,"35,000",0,"35,000","35,000",0,100.00%
Journeys by Design,Travel & Tourism,Travel & Tourism,United Kingdom,Europe,"2,250",0.00%,"2,250",0.00%,,,,,,"2,250",0,"2,250","2,250",0,100.00%
JPMorgan Chase & Co,Banking/Financial Services,Financial Services,United States,North America,"65,000",0.09%,"65,000",0.10%,,,,,,"65,000",0,"65,000","65,000",0,100.00%
JR Management Services,Management Consulting,Consulting Services,Germany,Europe,21,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,21,0.00%
JTC,Financial Services,Financial Services,Singapore,Asia,"2,018",0.00%,"2,018",0.00%,,,,,,"2,018",0,"2,018","2,018",0,100.00%
Juice Plus+,Health and wellness industry,Healthcare/Pharmaceuticals,United States,North America,325,0.00%,325,0.00%,,,,,325,,1,325,325,0,100.00%
Juli Kalasataman Edison Oy,Real Estate/Property Development,Construction/Engineering,Finland,Europe,"3,300",0.00%,"3,300",0.01%,,,,"3,300",,,1,"3,300",0,"3,300",0.00%
Juli Kirstinpuiston Christine Oy,Fashion/Apparel,Apparel/Fashion,Finland,Europe,"3,200",0.00%,"3,200",0.00%,,,"3,200",,,,1,"3,200",0,"3,200",0.00%
Juli Martinlaakson Mestari Ky,Construction or home improvement sector,Construction/Engineering,Finland,Europe,"1,500",0.00%,"1,500",0.00%,,,"1,500",,,,1,"1,500",0,"1,500",0.00%
Juli Martinlaakson Voitto Ky,Construction or real estate industry,Construction/Engineering,Finland,Europe,"1,500",0.00%,"1,500",0.00%,,,"1,500",,,,1,"1,500",0,"1,500",0.00%
Julian Hodge Bank,Banking,Financial Services,United Kingdom,Europe,57,0.00%,57,0.00%,,,,,57,,1,57,57,0,100.00%
Julian Marley,Music/Entertainment,Entertainment/Media/Sports,Jamaica,North America,131,0.00%,131,0.00%,,,,,131,,1,131,131,0,100.00%
Julius Blum,Construction or building materials industry,Construction/Engineering,Austria,Europe,629,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,629,0.00%
Jumpahead,Education/Technology,Technology/Telecommunications,United States,North America,110,0.00%,110,0.00%,110,,,,,,1,110,0,110,0.00%
Jungle IT,Technology,Technology/Telecommunications,Brazil,South America,24,0.00%,24,0.00%,,,,,,24,0,24,24,0,100.00%
Jungle Juice,Food and Beverage,Food and Beverage,United States,North America,150,0.00%,150,0.00%,,,,150,,,1,150,0,150,0.00%
JustCarbon,Environmental/Carbon offsetting,Energy/Mining/Utilities,United States,North America,"10,000",0.01%,"10,000",0.02%,,,,"10,000",,,1,"10,000",0,"10,000",0.00%
Juustoportti,Food and Beverage,Food and Beverage,Finland,Europe,"18,060",0.02%,"18,060",0.03%,"1,000","1,500","11,310","1,350",900,"2,000",5,"3,010","2,900","15,160",16.06%
Juventus,Sports/Entertainment,Entertainment/Media/Sports,Italy,Europe,"19,999",0.03%,"19,999",0.03%,,"10,000",,,"9,999",,2,"10,000","9,999","10,000",50.00%
K+R Group,Consulting,Consulting Services,Germany,Europe,225,0.00%,225,0.00%,,,,,,225,0,225,225,0,100.00%
K√•re Press-Kristensen og familie,Personal Services,Others,Denmark,Europe,10,0.00%,10,0.00%,,,,,,10,0,10,10,0,100.00%
Kabel + Satellit Bergen,Telecommunications,Technology/Telecommunications,Germany,Europe,99,0.00%,99,0.00%,,,,99,,,1,99,0,99,0.00%
Kährs,Construction/Building Materials,Construction/Engineering,Sweden,Europe,"1,517",0.00%,"1,517",0.00%,,,"1,517",,,,1,"1,517",0,"1,517",0.00%
Kai Aviation Ltd,Aerospace/Aviation,Transportation/Logistics,United Kingdom,Europe,"1,184",0.00%,"1,184",0.00%,,,"1,184",,,,1,"1,184",0,"1,184",0.00%
Kaiblinger + Partner,Law firm,Consulting Services,Austria,Europe,90,0.00%,90,0.00%,,,,90,,,1,90,0,90,0.00%
Kailow Graphic,Graphic Design,Others,Denmark,Europe,34,0.00%,34,0.00%,,,,,34,,1,34,34,0,100.00%
Kainos,Technology/IT sector,Technology/Telecommunications,United Kingdom,Europe,"3,047",0.00%,"3,047",0.00%,,,"1,510","1,537",,,2,"1,524",0,"3,047",0.00%
Kaiser,Healthcare,Healthcare/Pharmaceuticals,Germany,Europe,"1,852",0.00%,"1,852",0.00%,,,,,,"1,852",0,"1,852","1,852",0,100.00%
KAISER + KRAFT,Office supplies/industrial equipment,Construction/Engineering,Germany,Europe,420,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,420,0.00%
Kajaste Oy,Construction and real estate industry,Construction/Engineering,Finland,Europe,"6,500",0.01%,"6,500",0.01%,,,"6,500",,,,1,"6,500",0,"6,500",0.00%
Kale,Printing and Publishing,Entertainment/Media/Sports,Turkey,Europe,185,0.00%,185,0.00%,,,,,,185,0,185,185,0,100.00%
Kambly,Food and Beverage,Food and Beverage,Switzerland,Europe,850,0.00%,850,0.00%,,,,,850,,1,850,850,0,100.00%
Kapo,Financial Services,Financial Services,United States,North America,"3,098",0.00%,"3,098",0.00%,,,14,,,"3,084",1,"1,549","3,084",14,99.55%
Karbon,Carbon offsetting,Environmental & Sustainability Services,Australia,Oceania,900,0.00%,900,0.00%,,,,,,900,0,900,900,0,100.00%
Karelle Fishing,Outdoor/Recreation/Fishing,Agriculture/Agribusiness/Resources,United States,North America,905,0.00%,905,0.00%,,,,,905,,1,905,905,0,100.00%
Karlstad energi,Energy & Utilities,Energy/Mining/Utilities,Sweden,Europe,151,0.00%,151,0.00%,151,,,,,,1,151,0,151,0.00%
Karora,Beauty and cosmetics,Retail,Australia,Oceania,"26,195",0.04%,"26,195",0.04%,,,"8,000",,"18,195",,2,"13,098","18,195","8,000",69.46%
Kartesia,Finance or investment sector,Financial Services,Belgium,Europe,125,0.00%,125,0.00%,,,,125,,,1,125,0,125,0.00%
KASAS,Aircraft Rental,Transportation/Logistics,Kenya,Africa,119,0.00%,119,0.00%,,,,,,119,0,119,119,0,100.00%
Katestone,Environmental consulting,Consulting Services,Australia,Oceania,500,0.00%,500,0.00%,,,,310,190,,2,250,190,310,38.00%
Katholikentag,Religious Organizations,Non-profit/Charity/Government/NGO,Germany,Europe,495,0.00%,495,0.00%,,,,,,495,0,495,495,0,100.00%
Katsouris Brothers Ltd,Food and Beverage,Food and Beverage,United Kingdom,Europe,117,0.00%,117,0.00%,,,,117,,,1,117,0,117,0.00%
Kawasaki,Manufacturing,Manufacturing/Engineering,Japan,Asia,14,0.00%,14,0.00%,,,,,,14,0,14,14,0,100.00%
KBC Group,Finance/ Banking,Financial Services,Belgium,Europe,"27,274",0.04%,"13,500",0.02%,,,"5,000",,"8,500",,2,"6,750","8,500","18,774",31.17%
KBI,Financial Services,Financial Services,United States,North America,430,0.00%,430,0.00%,,,,,,430,0,430,430,0,100.00%
KCL Capital,Finance,Financial Services,United States,North America,168,0.00%,168,0.00%,,,,,,168,0,168,168,0,100.00%
Kedge Safety Systems,Safety Equipment,Manufacturing/Engineering,Netherlands,Europe,36,0.00%,36,0.00%,,,36,,,,1,36,0,36,0.00%
KeeeX,Technology,Technology/Telecommunications,France,Europe,55,0.00%,55,0.00%,,,,,,55,0,55,55,0,100.00%
KEK Karlsruher Energie- und Klimaschutzagentur,Energy and environmental sector,Energy/Mining/Utilities,Germany,Europe,"3,526",0.00%,"1,891",0.00%,,,,,191,"1,700",1,946,"1,891","1,635",53.63%
Kelvion,Engineering/Industrial Machinery,Construction/Engineering,Germany,Europe,"2,338",0.00%,"2,338",0.00%,,,"2,338",,,,1,"2,338",0,"2,338",0.00%
Keogh's,Food and Beverage,Food and Beverage,Ireland,Europe,"2,226",0.00%,"2,226",0.00%,,,,,,"2,226",0,"2,226","2,226",0,100.00%
Kering,Fashion and Luxury Goods,Apparel/Fashion,France,Europe,"488,129",0.66%,"415,629",0.64%,"331,629","9,000","75,000",,,,3,"138,543",0,"488,129",0.00%
