Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
Carbon Less,Carbon offsetting,Environmental & Sustainability Services,United States,North America,25,0.00%,25,0.00%,25,,,,,,1,25,0,25,0.00%
Carbon Market Institute,"Non-profit organization, Environmental Consulting",Environmental & Sustainability Services,Australia,Oceania,727,0.00%,673,0.00%,,,,,,673,0,673,673,54,92.57%
Carbon Neutral,Environmental Sustainability,Agriculture/Agribusiness/Resources,Australia,Oceania,868,0.00%,768,0.00%,,,379,238,101,50,3,192,151,717,17.40%
Carbon Neutral Cup 2024,Sports,Entertainment/Media/Sports,Qatar,Middle East,26,0.00%,26,0.00%,,,,,,26,0,26,26,0,100.00%
Carbon Offset Plus,Environmental Services,Environmental & Sustainability Services,United States,North America,10,0.00%,10,0.00%,,,10,,,,1,10,0,10,0.00%
Carbon Sense Ltd.,Carbon Sense Ltd. - Environmental Services,Environmental & Sustainability Services,The country is United Kingdom.,Europe,800,0.00%,800,0.00%,,,,,,800,0,800,800,0,100.00%
Carbon Tanzania,Carbon Offsetting,Environmental & Sustainability Services,Tanzania,Africa,152,0.00%,152,0.00%,,,,,,152,0,152,152,0,100.00%
Carbon-Zero,Environmental sustainability or renewable energy sector,Energy/Mining/Utilities,United States,North America,946,0.00%,946,0.00%,,,,,116,830,1,473,946,0,100.00%
CarbonBee,"Sustainability, Carbon Offsetting",Environmental & Sustainability Services,United States,North America,17,0.00%,17,0.00%,,,,17,,,1,17,0,17,0.00%
CarbonClick,Environmental Conservation/Eco-Friendly Technology,Environmental & Sustainability Services,New Zealand,Oceania,"11,341",0.02%,"9,341",0.01%,,,"4,000","4,000","1,283",58,3,"2,335","1,341","10,000",11.82%
CarbonCroc,Carbon capture and storage,Energy/Mining/Utilities,United States,North America,50,0.00%,50,0.00%,,,50,,,,1,50,0,50,0.00%
"Carbonfree, ECOPROGRESSO, Ruption","Carbon offsetting, sustainability, environmental technology",Environmental & Sustainability Services,United States,North America,11,0.00%,11,0.00%,,,,11,,,1,11,0,11,0.00%
Carbonfund.org,Non-profit/Environmental sector,Agriculture/Agribusiness/Resources,United States,North America,"3,000",0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,"3,000",0.00%
Carbonless,Paper and Printing,Manufacturing/Engineering,United States,North America,10,0.00%,0,0.00%,0,0,0,0,0,0,5,0,0,10,0.00%
